Physical Activity Variable,Motivation Variable,Correlation,P-value
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.05845386003836815,9.527240823255263e-11
C4H73DC = Exercise/Activity D – Coded,C4H1V = Have you ever had depression?,0.05841301205088638,9.817402288466564e-11
C4H73DFD = How many times per day do you do exercise/activity D?,C4H1V = Have you ever had depression?,0.05838713268080449,1.0005686458479013e-10
C4H73AC = Exercise/Activity A – Coded,C4Q3F = CESD I felt depressed,-0.05836971894320505,1.0134361180825212e-10
C4H73BI = What is the intensity of exercise/activity B?,C4Q1A = MASQ Felt sad,0.05819523673601646,1.1516302897298646e-10
C1PA24EC = High blood pressure therapy - Exercise,C4Q4G = PSS Able to control irritations in your life,0.05792316215791261,1.4046306458502164e-10
C1PA24EC = High blood pressure therapy - Exercise,C4Q4G = PSS Able to control irritations in your life,0.05792316215791261,1.4046306458502164e-10
C4H73DI = What is the intensity of exercise/activity D?,C4Q1A = MASQ Felt sad,-0.05789380177643395,1.434981360444483e-10
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.057341602491886016,2.1409884920011227e-10
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.057154835282318524,2.4491995719070516e-10
C4H73DFW = How many days per week do you do exercise/activity D?,C4H1V = Have you ever had depression?,0.05687594123777762,2.9916079472665967e-10
C4H73BS = Seasonal exercise/activity B?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.0567681800321585,3.2312069779230363e-10
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q1A = MASQ Felt sad,-0.05650285421554187,3.903813642445373e-10
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q1A = MASQ Felt sad,-0.05648350951260404,3.957876486749776e-10
C4H73CS = Seasonal exercise/activity C?,C4Q4I = PSS Angered because of things that were outside of your control,0.05644393251019422,4.070769399371872e-10
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H1V = Have you ever had depression?,0.056084394850079614,5.25122217569365e-10
C4H73BS = Seasonal exercise/activity B?,C4Q1L = MASQ Felt depressed,0.055774611688391394,6.53126019904955e-10
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q4D = PSS Confident about your ability to handle your personal problems,0.055674777063960866,7.005202512636581e-10
C4H73ES = Seasonal exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.055584788079475644,7.461037459947288e-10
C4H73ES = Seasonal exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.055584788079475644,7.461037459947288e-10
C4H73AFW = How many days per week do you do exercise/activity A?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.05555479678098815,7.619288643709171e-10
C4H73EC = Exercise/Activity E – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.0554091913137949,8.435308955730664e-10
C4H73EC = Exercise/Activity E – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.0554091913137949,8.435308955730664e-10
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.0551752169667723,9.928228356802082e-10
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.0551752169667723,9.928228356802082e-10
C4H73BS = Seasonal exercise/activity B?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.055101314480631304,1.0451185450015764e-09
C4H73EI = What is the intensity of exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.055073327573734246,1.0656160407047265e-09
C4H73EI = What is the intensity of exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.055073327573734246,1.0656160407047265e-09
C4H73DI = What is the intensity of exercise/activity D?,C4H1V = Have you ever had depression?,0.055057188565930136,1.0776138028074203e-09
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.05489366105527446,1.2068521211116682e-09
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.05489366105527446,1.2068521211116682e-09
C4H73AC = Exercise/Activity A – Coded,C4Q4G = PSS Able to control irritations in your life,0.05485928201416073,1.2358843286146312e-09
C4H73AC = Exercise/Activity A – Coded,C4Q4G = PSS Able to control irritations in your life,0.05485928201416073,1.2358843286146312e-09
C1PA24EC = High blood pressure therapy - Exercise,C4Q3R = CESD I felt sad,-0.054761863162883846,1.3218991416879514e-09
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.054395561573991724,1.7006865341691403e-09
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.054395561573991724,1.7006865341691403e-09
C4H73AFW = How many days per week do you do exercise/activity A?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.05409603031446123,2.087282931557808e-09
C4H73BI = What is the intensity of exercise/activity B?,C4H1V = Have you ever had depression?,-0.05191973954900285,8.949773734062283e-09
C4H73GFW = How many days per week do you do exercise/activity G?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.051609426528966384,1.09633540845345e-08
C4H73GS = Seasonal exercise/activity G?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.05158859513091646,1.1113266002852642e-08
C4H73GC = Exercise/Activity G – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,0.05158859513091646,1.1113266002852642e-08
C4H73GFD = How many times per day do you do exercise/activity G?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.05153101496554351,1.1538074870296569e-08
C4H73GI = What is the intensity of exercise/activity G?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.051491485949481525,1.183879795279154e-08
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.05148233757933184,1.190947321832178e-08
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q3F = CESD I felt depressed,0.05006781224984909,2.953404173300903e-08
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4B = PSS Unable to control the important things in your life,0.04962303590116409,3.9101136448490404e-08
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4B = PSS Unable to control the important things in your life,0.04962303590116409,3.9101136448490404e-08
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.04942351124939385,4.431219255861337e-08
C4H73ES = Seasonal exercise/activity E?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.04916417376097724,5.209970129969522e-08
C4H73EC = Exercise/Activity E – Coded,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.048825811052464425,6.427560901246381e-08
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.04871022214537796,6.903485993227812e-08
C4H73EI = What is the intensity of exercise/activity E?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.048602385132918376,7.378150732487844e-08
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.04860082849166372,7.385228783019637e-08
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.04839960861326036,8.357720490842517e-08
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.04839960861326036,8.357720490842517e-08
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.04769018436695985,1.2877097159023695e-07
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q3R = CESD I felt sad,0.047120126662435736,1.8145682777639889e-07
C4H73BC = Exercise/Activity B – Coded,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.046998183058032564,1.951721749064325e-07
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q1L = MASQ Felt depressed,0.04613246130607906,3.2572841597838644e-07
C4H73BS = Seasonal exercise/activity B?,C4Q3R = CESD I felt sad,0.046029546418122895,3.4597122121830993e-07
C1PA24EC = High blood pressure therapy - Exercise,C4Q1AA = MASQ Felt like I had a lot of energy,0.045179065616743445,5.666622412614019e-07
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q1A = MASQ Felt sad,0.04514580533486409,5.776014834531862e-07
C4H73BS = Seasonal exercise/activity B?,C4Q3F = CESD I felt depressed,0.045143418397271755,5.783943226601602e-07
C4H73FI = What is the intensity of exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.04494410109175347,6.484323918296834e-07
C4H73FI = What is the intensity of exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.04494410109175347,6.484323918296834e-07
C4H73FC = Exercise/Activity F – Coded,C4Q4B = PSS Unable to control the important things in your life,-0.04487257136519592,6.755061284048557e-07
C4H73FC = Exercise/Activity F – Coded,C4Q4B = PSS Unable to control the important things in your life,-0.04487257136519592,6.755061284048557e-07
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.044795374320595174,7.05946305611365e-07
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.044795374320595174,7.05946305611365e-07
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.044760960664959465,7.199381841205546e-07
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.044760960664959465,7.199381841205546e-07
C4H73FS = Seasonal exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.04474761860348108,7.254343363465442e-07
C4H73FS = Seasonal exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.04474761860348108,7.254343363465442e-07
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.04446800862678573,8.50364624689895e-07
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q4B = PSS Unable to control the important things in your life,-0.04446800862678573,8.50364624689895e-07
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q4I = PSS Angered because of things that were outside of your control,-0.044430395814392454,8.686745123753724e-07
C4H73FI = What is the intensity of exercise/activity F?,C4Q4I = PSS Angered because of things that were outside of your control,-0.04438279073738964,8.923934052713665e-07
C4H73FC = Exercise/Activity F – Coded,C4Q4I = PSS Angered because of things that were outside of your control,-0.04429705792510041,9.366907253133352e-07
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q4I = PSS Angered because of things that were outside of your control,-0.04426731829097137,9.525456699774151e-07
C4H73FS = Seasonal exercise/activity F?,C4Q4I = PSS Angered because of things that were outside of your control,-0.04422439519930228,9.75885298440422e-07
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q4I = PSS Angered because of things that were outside of your control,-0.044192728801053724,9.934558798863836e-07
C4H73CC = Exercise/Activity C – Coded,C4Q4D = PSS Confident about your ability to handle your personal problems,0.04363846465645869,1.3550521892200848e-06
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4I = PSS Angered because of things that were outside of your control,0.043479095002778204,1.480552900493683e-06
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4D = PSS Confident about your ability to handle your personal problems,0.04332289887543122,1.6143532139169157e-06
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q1FF = MASQ Was unable to relax,0.043054384139529,1.8719673763496673e-06
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q3R = CESD I felt sad,0.04190787646851479,3.488688941288597e-06
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4Q3R = CESD I felt sad,-0.04163866426248679,4.0286973449014774e-06
C4H73GS = Seasonal exercise/activity G?,C4Q3R = CESD I felt sad,-0.041545493670855686,4.233591362666054e-06
C4H73GC = Exercise/Activity G – Coded,C4Q3R = CESD I felt sad,-0.041545493670855686,4.233591362666054e-06
C4H73GFD = How many times per day do you do exercise/activity G?,C4Q3R = CESD I felt sad,-0.04154519016798103,4.2342748395743774e-06
C4H73GI = What is the intensity of exercise/activity G?,C4Q3R = CESD I felt sad,-0.041522824571401544,4.284933295974061e-06
C4H73GFW = How many days per week do you do exercise/activity G?,C4Q3R = CESD I felt sad,-0.04150540890614824,4.324781663373562e-06
C4H73BI = What is the intensity of exercise/activity B?,C4Q1FF = MASQ Was unable to relax,0.04145397906264745,4.444539945271571e-06
C4H73CFW = How many days per week do you do exercise/activity C?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.041280675323472266,4.871921003715615e-06
C4H73BI = What is the intensity of exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.040774227441438056,6.358249033258859e-06
C4H73BI = What is the intensity of exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.040774227441438056,6.358249033258859e-06
C4H73DS = Seasonal exercise/activity D?,C4Q3R = CESD I felt sad,-0.04038941637124739,7.76819321670742e-06
C4H73CC = Exercise/Activity C – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.04031973542961796,8.053586262094812e-06
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.040214120037723636,8.505340892965295e-06
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.040214120037723636,8.505340892965295e-06
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q3R = CESD I felt sad,-0.03980738681330306,1.0481819770520609e-05
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q3R = CESD I felt sad,-0.039771425714634816,1.067625667255814e-05
C4H73DC = Exercise/Activity D – Coded,C4Q3R = CESD I felt sad,-0.03955962380358613,1.189318784273113e-05
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q3F = CESD I felt depressed,-0.039294446865963846,1.36040128103151e-05
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.0392507262150352,1.3907718047752113e-05
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.0392507262150352,1.3907718047752113e-05
C4H73DI = What is the intensity of exercise/activity D?,C4Q3F = CESD I felt depressed,-0.03922326561921362,1.410176739206901e-05
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q3F = CESD I felt depressed,-0.03906224466531481,1.5292611261625513e-05
C4H73BFD = How many times per day do you do exercise/activity B?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.03899829640042526,1.5791647034824592e-05
C4H73BC = Exercise/Activity B – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.03892520172855092,1.6381067187113306e-05
C4H73DS = Seasonal exercise/activity D?,C4Q3F = CESD I felt depressed,-0.0389117281040625,1.649197967825331e-05
C4H73DC = Exercise/Activity D – Coded,C4Q3F = CESD I felt depressed,-0.038813155577505865,1.7325455576927096e-05
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.03876284787260258,1.7766148975707674e-05
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.03876284787260258,1.7766148975707674e-05
C4H73DI = What is the intensity of exercise/activity D?,C4Q3R = CESD I felt sad,-0.038692200612698936,1.8403077456685722e-05
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4Q1L = MASQ Felt depressed,-0.03863079817990345,1.897427034724521e-05
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q1L = MASQ Felt depressed,0.038562359175878864,1.9630809646636255e-05
C4H73GI = What is the intensity of exercise/activity G?,C4Q1L = MASQ Felt depressed,-0.03855470161172011,1.9705600299021546e-05
C4H73GFD = How many times per day do you do exercise/activity G?,C4Q1L = MASQ Felt depressed,-0.03854056228668696,1.984441122489253e-05
C4H73GC = Exercise/Activity G – Coded,C4Q1L = MASQ Felt depressed,-0.03850020750294377,2.0245727944789825e-05
C4H73GS = Seasonal exercise/activity G?,C4Q1L = MASQ Felt depressed,-0.03850020750294377,2.0245727944789825e-05
C4H73GFW = How many days per week do you do exercise/activity G?,C4Q1L = MASQ Felt depressed,-0.03846151229450489,2.0637788743185205e-05
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q1FF = MASQ Was unable to relax,0.03832602599333143,2.206827528903873e-05
C4H73BS = Seasonal exercise/activity B?,C4H1V = Have you ever had depression?,-0.037294640745847533,3.649678994998642e-05
C4H73CI = What is the intensity of exercise/activity C?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.03671238562315571,4.8216926593779766e-05
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q3F = CESD I felt depressed,-0.03667545587215413,4.906956274176656e-05
C4H73CS = Seasonal exercise/activity C?,C4Q4D = PSS Confident about your ability to handle your personal problems,0.03666951232971038,4.920811564541175e-05
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q4B = PSS Unable to control the important things in your life,0.03614922768647451,6.28830079067189e-05
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q4B = PSS Unable to control the important things in your life,0.03614922768647451,6.28830079067189e-05
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q3R = CESD I felt sad,-0.03561582056803414,8.05907301447923e-05
C1PA24EC = High blood pressure therapy - Exercise,C4Q4B = PSS Unable to control the important things in your life,0.03532800495063203,9.200780535136675e-05
C1PA24EC = High blood pressure therapy - Exercise,C4Q4B = PSS Unable to control the important things in your life,0.03532800495063203,9.200780535136675e-05
C4H73BS = Seasonal exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.03500894228291178,0.0001064434950676303
C4H73BS = Seasonal exercise/activity B?,C4Q4G = PSS Able to control irritations in your life,-0.03500894228291178,0.0001064434950676303
C4H73CFD = How many times per day do you do exercise/activity C?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.0349606863206847,0.00010880452316235596
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4Q1A = MASQ Felt sad,-0.03424068743431834,0.00015045359774167787
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q4I = PSS Angered because of things that were outside of your control,0.03421235017119962,0.0001523661804575366
C4H73GC = Exercise/Activity G – Coded,C4Q1A = MASQ Felt sad,-0.03419217073999104,0.0001537420873541503
C4H73GS = Seasonal exercise/activity G?,C4Q1A = MASQ Felt sad,-0.03419217073999104,0.0001537420873541503
C4H73GFW = How many days per week do you do exercise/activity G?,C4Q1A = MASQ Felt sad,-0.034147426394799646,0.00015683474209176576
C4H73GFD = How many times per day do you do exercise/activity G?,C4Q1A = MASQ Felt sad,-0.03413633075857354,0.0001576106625671473
C4H73GI = What is the intensity of exercise/activity G?,C4Q1A = MASQ Felt sad,-0.03406266058062755,0.00016285477175279265
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.033967730643696126,0.00016985446989670777
C4H73ES = Seasonal exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.0333959307653855,0.00021837272167521404
C4H73ES = Seasonal exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.0333959307653855,0.00021837272167521404
C4H73BI = What is the intensity of exercise/activity B?,C4Q4I = PSS Angered because of things that were outside of your control,-0.03318872038738091,0.00023896473576211447
C4H73EI = What is the intensity of exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.03302105747834164,0.0002569455798505386
C4H73EI = What is the intensity of exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.03302105747834164,0.0002569455798505386
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.03295579190006536,0.0002642819495808374
C4H73BFD = How many times per day do you do exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.03295579190006536,0.0002642819495808374
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.032915477109993194,0.0002689112765065689
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.032915477109993194,0.0002689112765065689
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.032846579851077216,0.0002769990785835379
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.032535913266311715,0.0003163807485383814
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.032535913266311715,0.0003163807485383814
C4H73EC = Exercise/Activity E – Coded,C4Q4G = PSS Able to control irritations in your life,0.03253335900662188,0.0003167252540000951
C4H73EC = Exercise/Activity E – Coded,C4Q4G = PSS Able to control irritations in your life,0.03253335900662188,0.0003167252540000951
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.03251399973625838,0.00031934777165508634
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.03251399973625838,0.00031934777165508634
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.03232001381409728,0.00034677216040795457
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q4G = PSS Able to control irritations in your life,0.03232001381409728,0.00034677216040795457
C4H73BS = Seasonal exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.032174610056370456,0.0003687561355094687
C4H73BS = Seasonal exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.032174610056370456,0.0003687561355094687
C4H73FS = Seasonal exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.03194802859335321,0.00040562575020622045
C4H73FS = Seasonal exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.03194802859335321,0.00040562575020622045
C4H73FC = Exercise/Activity F – Coded,C4Q4G = PSS Able to control irritations in your life,0.03194115167126236,0.0004067968471800049
C4H73FC = Exercise/Activity F – Coded,C4Q4G = PSS Able to control irritations in your life,0.03194115167126236,0.0004067968471800049
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.0318956186879309,0.00041463086249801916
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.0318956186879309,0.00041463086249801916
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.03188023080108196,0.0004173100663854476
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.03188023080108196,0.0004173100663854476
C4H73EI = What is the intensity of exercise/activity E?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.03186248145832023,0.0004204205008407946
C4H73FI = What is the intensity of exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.03162549234942627,0.00046407954344814103
C4H73FI = What is the intensity of exercise/activity F?,C4Q4G = PSS Able to control irritations in your life,0.03162549234942627,0.00046407954344814103
C4H73BI = What is the intensity of exercise/activity B?,C4Q3F = CESD I felt depressed,0.03115138165815963,0.0005643979795605773
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.031095730828506724,0.0005774146246735564
C4H73EC = Exercise/Activity E – Coded,C4Q1L = MASQ Felt depressed,-0.031022203134617246,0.0005950414249304852
C4H73EC = Exercise/Activity E – Coded,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.030968498623773946,0.0006082310976292055
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q1A = MASQ Felt sad,0.030747927128419967,0.0006653075652842681
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q1L = MASQ Felt depressed,-0.030631486608915886,0.0006974095018009253
C4H73EI = What is the intensity of exercise/activity E?,C4Q1L = MASQ Felt depressed,-0.03060097574933873,0.000706056006471443
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q4D = PSS Confident about your ability to handle your personal problems,0.030535759280509778,0.0007248727837010424
C4H73ES = Seasonal exercise/activity E?,C4Q1L = MASQ Felt depressed,-0.03033841680627941,0.0007846868000345606
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.030166673718574004,0.0008404370113623259
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q1L = MASQ Felt depressed,-0.030165558368012386,0.0008408107856918741
C4H73ES = Seasonal exercise/activity E?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.029861460174412872,0.0009486705281680236
C4H73BI = What is the intensity of exercise/activity B?,C4Q3R = CESD I felt sad,0.029769922277912298,0.0009835650184101578
C4H73DI = What is the intensity of exercise/activity D?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.029745913102903008,0.0009929120938169428
C4H73DI = What is the intensity of exercise/activity D?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.029745913102903008,0.0009929120938169428
C4H73FI = What is the intensity of exercise/activity F?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.029664848799878827,0.0010250823996561858
C4H73FFW = How many days per week do you do exercise/activity F?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.02964634735388404,0.0010325586227868376
C4H73FFD = How many times per day do you do exercise/activity F?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.02947379209704339,0.0011047561816120584
C4H73CI = What is the intensity of exercise/activity C?,C4Q4B = PSS Unable to control the important things in your life,-0.029468378475699258,0.0011070950054351432
C4H73CI = What is the intensity of exercise/activity C?,C4Q4B = PSS Unable to control the important things in your life,-0.029468378475699258,0.0011070950054351432
C1PA24EC = High blood pressure therapy - Exercise,C4Q1L = MASQ Felt depressed,-0.029461358803378787,0.0011101345013602118
C4H73FC = Exercise/Activity F – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.029291604091351536,0.0011860286761030902
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q1L = MASQ Felt depressed,-0.02920846176553077,0.0012249233948874016
C4H73FS = Seasonal exercise/activity F?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.029155878137747882,0.0012501270247727908
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.02908757924480028,0.001283577955988489
C4H73AC = Exercise/Activity A – Coded,C4Q4I = PSS Angered because of things that were outside of your control,-0.02854672200997543,0.0015791234975645336
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.027895541173042722,0.0020175926890540247
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4B = PSS Unable to control the important things in your life,-0.027895541173042722,0.0020175926890540247
C4H73BI = What is the intensity of exercise/activity B?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",0.027727151548172273,0.0021478746613294427
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4B = PSS Unable to control the important things in your life,0.02770533172614214,0.0021653096014385502
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4B = PSS Unable to control the important things in your life,0.02770533172614214,0.0021653096014385502
